iter	Logloss
181	0.4480349461
182	0.4480215605
183	0.4479673589
184	0.4478123549
185	0.4474438267
186	0.4474292315
187	0.4472879964
188	0.447233711
189	0.4472195284
190	0.4468852589
191	0.4468797821
192	0.4468047798
193	0.4467883018
194	0.4466859131
195	0.4463708324
196	0.4463483739
197	0.4461067168
198	0.4459861468
199	0.4459697501
200	0.4459212984
201	0.4456926442
202	0.4456841372
203	0.4456666112
204	0.4455511874
205	0.445216972
206	0.4450964855
207	0.4448838769
208	0.4446958344
209	0.4441762043
210	0.4439925997
211	0.4439120888
212	0.4439108028
213	0.4437240291
214	0.4437160998
215	0.4434792743
216	0.4434792735
217	0.4431837496
218	0.443181128
219	0.4429124895
220	0.4429032293
221	0.4427836301
222	0.4427231609
223	0.4427227359
224	0.4426694891
225	0.4426683223
226	0.442543619
227	0.4424812031
228	0.4422761657
229	0.4421220965
230	0.4421069779
231	0.4420853981
232	0.4419955056
233	0.441644423
234	0.4415693902
235	0.4415411728
236	0.4413926544
237	0.4412707347
238	0.4409794437
239	0.4409110905
240	0.4406588082
241	0.4404900278
242	0.4404274529
243	0.4403754137
244	0.4403647716
245	0.440313255
246	0.4402602308
247	0.4401120893
248	0.4400090303
249	0.4400009204
250	0.4399692571
251	0.4399339955
252	0.4399314378
253	0.4397811801
254	0.4397389207
255	0.4397060201
256	0.4397042908
257	0.4396001552
258	0.4393184197
259	0.4391669086
260	0.4391584084
261	0.4391236547
262	0.4391065864
263	0.4390004927
264	0.4389657058
265	0.4387426248
266	0.4387176114
267	0.4386801276
268	0.4386789627
269	0.4384502751
270	0.4384472196
271	0.4382953612
272	0.4382476057
273	0.4380553563
274	0.4380531984
275	0.4379566582
276	0.4376847978
277	0.4374914079
278	0.4372391805
279	0.4372350982
280	0.4371830066
281	0.4370571814
282	0.43703824
283	0.4369523158
284	0.4367180328
285	0.4365007812
286	0.4364871473
287	0.4364201874
288	0.4363524167
289	0.4361052321
290	0.4360983896
291	0.4358860352
292	0.4358810115
293	0.4356755547
294	0.4356092445
295	0.4354752351
296	0.4351608246
297	0.4347427707
298	0.4346004055
299	0.434290184
300	0.4342331025
301	0.4341420706
302	0.4340054432
303	0.4339861441
304	0.4339391926
305	0.4339333124
306	0.4338540696
307	0.4338438829
308	0.4338042541
309	0.4336695092
310	0.4336694543
311	0.4335048212
312	0.4334352471
313	0.4334276002
314	0.4334029744
315	0.4332958123
316	0.4331229275
317	0.4331082658
318	0.4330953721
319	0.4329291957
320	0.4327565446
321	0.4327275748
322	0.4325916391
323	0.4324528078
324	0.4324025194
325	0.4322059349
326	0.4320755789
327	0.4319309535
328	0.4319288244
329	0.4317992423
330	0.4317792259
331	0.4317718238
332	0.4317039435
333	0.4316056267
334	0.431484409
335	0.431481935
336	0.4312941188
337	0.4312519899
338	0.4312313605
339	0.430973339
340	0.4308625306
341	0.430782252
342	0.4304852048
343	0.4304564469
344	0.4304441509
345	0.4303064349
346	0.4302675012
347	0.4301726136
348	0.4300122602
349	0.4299990107
350	0.4299842621
351	0.4298205732
352	0.4298164321
353	0.4297472936
354	0.4297449899
355	0.4297248853
356	0.4295434698
357	0.4294095514
358	0.4294025753
359	0.4293245961
360	0.4292494001
361	0.4291293917
362	0.4289434775
363	0.4287147398
364	0.4285873763
365	0.4285457062
366	0.4284957615
367	0.4284609177
368	0.428365986
369	0.4283611211
370	0.4283269536
371	0.4282234734
372	0.4282161717
373	0.4282010168
374	0.4281820297
375	0.4281635823
376	0.4279617579
377	0.4279613435
378	0.4278746158
379	0.4276855755
380	0.4275289251
381	0.4272664283
382	0.4270894294
383	0.4270850467
384	0.4268067451
385	0.4267934805
386	0.4267916663
387	0.4267590348
388	0.4264211551
389	0.4262369881
390	0.4262255479
391	0.4261990925
392	0.4261611285
393	0.4260862325
394	0.4260711525
395	0.4260206617
396	0.426001079
397	0.4258603602
398	0.4254053273
399	0.4253840694
