iter	Logloss
0	0.6625895387
1	0.6383586565
2	0.6156164291
3	0.5965403689
4	0.5856135531
5	0.5727196738
6	0.5632290817
7	0.5541487334
8	0.5444355615
9	0.5359237448
10	0.5298121072
11	0.5233979663
12	0.518331029
13	0.5139770101
14	0.5096605092
15	0.5068322369
16	0.5040933685
17	0.5009011325
18	0.4985655169
19	0.4963976539
20	0.4948484304
21	0.4933577173
22	0.4915906629
23	0.4905963712
24	0.4892727159
25	0.4880841715
26	0.4864773921
27	0.4854641934
28	0.4842371588
29	0.4835479584
30	0.4828435208
31	0.4818201205
32	0.48126916
33	0.4801304937
34	0.4794684905
35	0.478792883
36	0.4780889515
37	0.4775275469
38	0.4769759905
39	0.4764785357
40	0.4761315533
41	0.4755444742
42	0.4750517691
43	0.474606224
44	0.474249152
45	0.4738542173
46	0.4734368095
47	0.4729430815
48	0.4723683936
49	0.4717824344
50	0.4714859798
51	0.471169476
52	0.4707970408
53	0.4705791169
54	0.4701462944
55	0.4700113633
56	0.4697732007
57	0.469631973
58	0.4694757011
59	0.4694470301
60	0.4693171215
61	0.4691308926
62	0.4686768577
63	0.4683930438
64	0.4681323121
65	0.4679560195
66	0.4675528276
67	0.4673978078
68	0.4672023969
69	0.4671697814
70	0.4670620893
71	0.4668767991
72	0.4663611308
73	0.46626565
74	0.4660145987
75	0.4659490089
76	0.465921478
77	0.4657910325
78	0.4654744674
79	0.4652454701
80	0.4652249114
81	0.4652097335
82	0.4649901506
83	0.4648401086
84	0.4648332552
85	0.464544126
86	0.4640307826
87	0.4639121167
88	0.4638553581
89	0.4633199708
90	0.4632373435
91	0.4631170405
92	0.4628916052
93	0.4626710708
94	0.4626386459
95	0.4626139513
96	0.4622740553
97	0.4622521023
98	0.4622222493
99	0.4619457576
100	0.4616740823
101	0.4613409119
102	0.46118625
103	0.4607854478
104	0.4605837262
105	0.4602652161
106	0.4599776605
107	0.4595510242
108	0.4593269636
109	0.4590056915
110	0.4589783823
111	0.458680385
112	0.4586740193
113	0.458456504
114	0.4583807812
115	0.4581749829
116	0.4579871459
117	0.4578334283
118	0.4575501566
119	0.4572527343
120	0.4570494895
121	0.457008709
122	0.4569830648
123	0.4568739884
124	0.4566824084
125	0.45650787
126	0.4565051364
127	0.4564193915
128	0.456088551
129	0.4558508772
130	0.4555114554
131	0.4555059302
132	0.4551616478
133	0.4549218085
134	0.454629372
135	0.4543753203
136	0.4542451129
137	0.4542112228
138	0.4542070817
139	0.454194753
140	0.4539240909
141	0.4537182592
142	0.4537100609
143	0.4535175879
144	0.4534175697
145	0.4533828307
146	0.4533578653
147	0.4533548963
148	0.4531188043
149	0.4529561522
150	0.4529246728
151	0.4528883073
152	0.4527327074
153	0.4524820173
154	0.4524497314
155	0.4522442224
156	0.4520448035
157	0.4518362542
158	0.4516107634
159	0.4513425519
160	0.4512953914
161	0.4511824477
162	0.451148523
163	0.4507592147
164	0.4505388409
165	0.4505206981
166	0.4502759538
167	0.4501022838
168	0.4498218013
169	0.4496520351
170	0.4495787706
171	0.4495633923
172	0.4493082219
173	0.4492460968
174	0.4491236876
175	0.4491194243
176	0.4490941127
177	0.448837824
178	0.4484815433
179	0.4482497744
180	0.4480977519
